sample_id_hash,stage,category,failure_category,compile_returncode,runtime_returncode,notes
53ae9e39528f8bca,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
b1e9f98d2894c52a,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
98743be61ca4c8f9,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
bb0e16aa1f549d78,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
4502593f8a2366ee,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
71010893be799ad7,single_op,current_supported_arithmetic,compile_syntax_error,2,,compile_error
217e95d12f4efd01,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
22d82d0546472921,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
53ae9e39528f8bca,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
b1e9f98d2894c52a,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
425ed75c3866e097,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
341b8a6cfd71c327,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
6290ab8cd604a0f4,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
8f9e5efa825db69c,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
c1d9e8ff6a354229,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
924784e60d12add1,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
f8f3b7a75c77b2f7,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
585ca079aa8c9b18,precedence,current_supported_arithmetic,compile_syntax_error,2,,compile_error
98743be61ca4c8f9,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
bb0e16aa1f549d78,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
4502593f8a2366ee,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
5a28e3c7a814b95c,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
91832b44e6c6897d,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
19e91e9c44de1814,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
429a9ea9f1a56ec5,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
3263d01cfce0be8d,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
a45561f65461dc8d,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
f0336d51d792fa59,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
aa2a3224ae6601b6,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
b208636aa3685ac6,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
4c3492116922ac1d,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
f6ccac39ba79be72,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
4c3f44f09360caa4,parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
71010893be799ad7,single_op,current_supported_arithmetic,compile_syntax_error,2,,compile_error
217e95d12f4efd01,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
22d82d0546472921,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
c60233c623c80380,single_op,current_supported_arithmetic,compile_syntax_error,2,,compile_error
c4c9829963a2d717,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
e13abd1d640f792c,single_op,current_supported_arithmetic,compile_syntax_error,2,,compile_error
c9461197ee6f87a3,single_op,current_supported_arithmetic,compile_syntax_error,2,,compile_error
7170027e295bbdbe,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
849e5ab564a5fb90,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
d42130f16fffa019,single_op,current_supported_arithmetic,compile_syntax_error,2,,compile_error
bfd9845b59a376ff,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
3b0732533617e41b,two_op_no_parentheses,current_supported_arithmetic,compile_syntax_error,2,,compile_error
